description,industry,level,size,line_code,value
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",total,0,6–19 employees,D0201,14604
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",total,0,20–49 employees,D0201,3792
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",total,0,50–99 employees,D0201,1071
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",total,0,100+ employees,D0201,777
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts","Agriculture, forestry, & fishing",1,total,D0201,2268
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Agriculture,2,total,D0201,1539
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Commercial fishing,2,total,D0201,24
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Forestry & logging,2,total,D0201,123
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts","Agriculture, forestry, & fishing support services",2,total,D0201,579
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Mining,1,total,D0201,30
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Manufacturing,1,total,D0201,2694
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts","Food, beverage, & tobacco",2,total,D0201,525
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts","Textile, clothing, footwear, & leather",2,total,D0201,162
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Wood & paper product,2,total,D0201,276
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts","Printing, publishing, & recorded media",2,total,D0201,120
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts","Petroleum, coal, chemical, & associated product",2,total,D0201,216
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Non-metallic mineral product,2,total,D0201,84
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Metal product,2,total,D0201,492
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Transport and industrial machinery & equipment,2,total,D0201,531
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Other machinery & equipment,2,total,D0201,99
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Other manufacturing,2,total,D0201,189
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts","Electricity, gas, water, & waste services",1,total,D0201,69
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Construction,1,total,D0201,3069
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Wholesale trade,1,total,D0201,1533
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Machinery & equipment wholesaling,2,total,D0201,378
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Other wholesale trade,2,total,D0201,1152
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Retail trade,1,total,D0201,1980
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Accommodation & food services,1,total,D0201,2385
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts","Transport, postal, & warehousing",1,total,D0201,819
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Information media & telecommunications,1,total,D0201,138
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Publishing,2,total,D0201,45
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Motion picture,2,total,D0201,51
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Telecommunications,2,total,D0201,42
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Financial & insurance services,1,total,D0201,138
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Finance,2,total,D0201,69
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Insurance,2,total,D0201,0
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Auxiliary,2,total,D0201,72
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts","Rental, hiring, & real estate services",1,total,D0201,453
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts","Professional, scientific, & technical services",1,total,D0201,1749
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Computer systems design,2,total,D0201,234
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Other professional scientific,2,total,D0201,1518
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Administrative & support services,1,total,D0201,807
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Education & training,1,total,D0201,387
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Health care & social assistance,1,total,D0201,801
"At the end of the last financial year, which of the following types of outstanding debt did this business have? bank overdrafts",Arts & recreation services,1,total,D0201,198
